Match Score (%),Recommendation,Title,Company,Company Type,Modality,Salary,Salary Type,Interview Difficulty (0-100),Location,Has Full JD,Pros,Cons / Risks,AI Reasoning,URL,Posted,Scanned At
10,REJECT,Junior / Mid-level Java Software Developer,Tricast Ltd,SME,Hybrid,22.000€ - 30.000€,Estimated,40,Győr (Hybrid),No,• Accessible junior/mid seniority level,"• Hybrid work in Hungary (Győr)
• Low local pay scale
• Violates location/remote preference",This hybrid role requires physical presence in Hungary. It is a location red flag and should be rejected.,N/A,2 months ago,2026-08-11T20:18:49.980Z
0,REJECT,People & Talent (intern),idealista,Scaleup,Hybrid,10.000€ - 14.000€,Estimated,10,Madrid (Hybrid),No,• HR department experience,"• HR internship
• Underqualified salary and non-tech focus",This offer is an HR internship position. It bears zero relevance to a mid-level software engineer.,N/A,1 week ago,2026-08-11T20:05:08.172Z
0,REJECT,Agente venta consultiva - AvaiBook,idealista,Scaleup,Hybrid,22.000€ - 28.000€,Estimated,10,Madrid (Hybrid),No,• SaaS product line (AvaiBook),"• Consultative sales position
• Hybrid modality",This is a consultative sales position for AvaiBook software. It is completely outside the candidate's backend career track.,N/A,2 weeks ago,2026-08-11T20:05:08.172Z
0,REJECT,Qualification de marché (français natif/bilingue),idealista,Scaleup,Hybrid,22.000€ - 26.000€,Estimated,10,Madrid (Hybrid),No,• International business focus,"• Market research / lead qualification
• Non-engineering domain",This market qualification position is non-technical and offers no engineering growth. It is rejected.,N/A,2 weeks ago,2026-08-11T20:05:08.172Z
0,REJECT,Atención al cliente con Italiano para Fines de Semana y Festivos,idealista,Scaleup,,15.000€ - 20.000€,Estimated,10,Madrid,No,• Product company environment,"• Customer support role
• Part-time weekend schedule outside software development",This weekend customer support vacancy is entirely non-technical. It is completely irrelevant for a Java software engineer.,N/A,1 week ago,2026-08-11T20:05:08.171Z
0,REJECT,Senior Accountant - Controller (FR),idealista,Scaleup,Hybrid,35.000€ - 45.000€,Estimated,10,Madrid (Hybrid),No,• Established product company,"• Finance and accounting role
• Hybrid presence required in Madrid",This offer is for an accounting position and has no relevance to software engineering. It also requires hybrid presence in Madrid.,N/A,1 week ago,2026-08-11T20:05:08.171Z
0,REJECT,Chargé(e) de relation client / prospection (français natif/bilingue),idealista,Scaleup,,20.000€ - 25.000€,Estimated,10,Madrid,No,• Well-known product company in Spain,"• Non-technical customer relationship role
• Total mismatch with software engineering profile",This position is a customer relations role that does not involve software engineering. It holds zero technical alignment with the candidate's profile.,N/A,1 week ago,2026-08-11T20:05:08.171Z
0,REJECT,Atención al cliente con Portugués para Fines de Semana y Festivos (Madrid),idealista,Scaleup,Onsite,15.000€ - 18.000€,Estimated,5,Madrid (On-site),No,• Stable platform company,"• Onsite customer support
• Weekend shifts, non-engineering",This onsite weekend customer service offer provides no engineering tasks. It is incompatible with the candidate's profile.,N/A,2 weeks ago,2026-08-11T20:05:08.172Z
0,REJECT,Key Account Manager (italian market),idealista,Scaleup,Hybrid,35.000€ - 45.000€,Estimated,15,Madrid (Hybrid),No,• Commercial account management,"• Sales leadership role, not engineering
• Hybrid work in Madrid",This is a commercial key account management role focused on the Italian market. It holds no alignment with Java engineering.,N/A,2 weeks ago,2026-08-11T20:05:08.172Z
0,REJECT,Gestor de Hipotecas - Barcelona,idealista,Scaleup,Hybrid,24.000€ - 30.000€,Estimated,10,Barcelona (Hybrid),No,• Established real estate ecosystem,"• Non-technical role
• Hybrid in Barcelona",This mortgage manager offer is non-technical and location-restricted to Barcelona. It must be rejected.,N/A,1 week ago,2026-08-11T20:05:08.172Z
0,REJECT,Gestor Hipotecario - Málaga,idealista,Scaleup,Hybrid,24.000€ - 30.000€,Estimated,10,Málaga (Hybrid),No,• Fintech branch of idealista,"• Mortgage management role
• Hybrid in Málaga",This position entails mortgage administration rather than backend software engineering. It is a complete mismatch.,N/A,1 week ago,2026-08-11T20:05:08.172Z
0,REJECT,Atención al Cliente bilingüe italiano - part time,idealista,Scaleup,,12.000€ - 16.000€,Estimated,10,Madrid,No,• Known company,"• Part-time customer service
• Non-technical role",This part-time customer support vacancy has no relevance to software development. It should be rejected.,N/A,1 week ago,2026-08-11T20:05:08.172Z
0,REJECT,Fotógrafo/a Freelance - Figueres,idealista,Scaleup,Onsite,18.000€ - 24.000€,Estimated,5,Madrid (On-site),No,• Freelance contract,"• Onsite photography role
• Complete mismatch with profile",This photography job requires physical presence and is unrelated to backend engineering. It must be rejected.,N/A,1 week ago,2026-08-11T20:05:08.171Z
0,REJECT,Comercial online,idealista,Scaleup,Hybrid,22.000€ - 28.000€,Estimated,10,Málaga (Hybrid),No,• Digital product context,"• Online sales position
• Hybrid requirement in Málaga",This job is an online sales role in Málaga with hybrid attendance. It does not align with the candidate's technical profile.,N/A,2 weeks ago,2026-08-11T20:05:08.171Z
0,REJECT,Chargé(e) de relation client/prospection (français natif/bilingue),idealista,Scaleup,,20.000€ - 25.000€,Estimated,10,Madrid,No,• Product company environment,"• Customer service / sales role
• Non-engineering domain",This position focuses on customer relations and prospecting. It is entirely outside software engineering.,N/A,1 week ago,2026-08-11T20:05:08.171Z
0,REJECT,Fotógrafo/a Freelance - Mahón,idealista,Scaleup,Onsite,18.000€ - 24.000€,Estimated,5,Madrid (On-site),No,• Freelance opportunity,"• Onsite photography work
• Non-technical role",This position involves physical real estate photography in Mahón. It provides no alignment with software development.,N/A,1 week ago,2026-08-11T20:05:08.171Z
0,REJECT,Fotógrafo/a Freelance - Huesca,idealista,Scaleup,Onsite,18.000€ - 24.000€,Estimated,5,Madrid (On-site),No,• Freelance flexibility,"• Onsite photography position
• Irrelevant domain and low salary potential",This is a photography job requiring physical presence in Huesca. It has zero technical correlation with Java backend development.,N/A,1 week ago,2026-08-11T20:05:08.171Z
0,REJECT,Diseñador/a de Virtual Home Staging - Freelance,idealista,Scaleup,Remote,20.000€ - 28.000€,Estimated,10,Madrid (Remote),No,• Remote work flexibility,"• Interior design / staging focus
• Non-engineering position","Although remote, this home staging design role is non-technical. It is outside the candidate's software engineering background.",N/A,1 week ago,2026-08-11T20:05:08.171Z
0,REJECT,Creative Designer (français natif/bilingue),idealista,Scaleup,Hybrid,28.000€ - 35.000€,Estimated,10,Madrid (Hybrid),No,• Creative environment in a top digital platform,"• Graphic design role, not software backend development
• Hybrid modality",The role focuses on creative design rather than backend software development. It does not match the candidate's career goals.,N/A,1 week ago,2026-08-11T20:05:08.171Z
0,REJECT,Gestor Hipotecario – Madrid,idealista,Scaleup,Hybrid,24.000€ - 30.000€,Estimated,10,Madrid (Hybrid),No,• Product company background,"• Mortgage operations position
• Non-technical role with mandatory hybrid attendance",This mortgage specialist job is unrelated to technology or software engineering. It should be rejected immediately.,N/A,1 week ago,2026-08-11T20:05:08.171Z
95,HIGHLY INTERESTED,Mid/Senior Backend Engineer (Java),Revolut,Scaleup,Remote,"50,000€ - 65,000€",Estimated,85,Spain (Remote),No,"• 100% Remote in Spain
• Top tier fintech product scaleup
• Explicit Java focus with high-performance microservices
• Salary well above 45k€ target","• Challenging technical interviews (Algorithms & Architecture)
• Detailed job description missing","Outstanding match across all candidate criteria. Mid/Senior tier fits candidate's 3.5 years experience, paying top market salary with 100% remote flexibility.",N/A,4 days ago,2026-08-11T20:18:58.666Z
88,HIGHLY INTERESTED,Mid/Senior Java Engineer (m/f/d),Redcare Pharmacy,Scaleup,Remote,"50,000€ - 65,000€",Estimated,70,Berlin (Remote),No,"• Mid/Senior range explicitly accepts ~3.5 years experience
• 100% Remote from EU / Berlin tech scaleup
• E-commerce product scale, excellent compensation","• Freshly posted, high applicant competition
• Detailed job description missing","Top match. Flexible seniority tier fits candidate's profile, offering product company environment, high salary, and 100% remote work.",N/A,4 hours ago,2026-08-11T20:18:44.291Z
88,HIGHLY INTERESTED,Software Engineer (Java/Kotlin/Spring Boot/Microservices/AWS),Santander Consumer Finance,Scaleup,Remote,"42,000€ - 48,000€",Estimated,65,Spain (Remote),No,"• 100% Remote in Spain
• Perfect stack match: Java, Spring Boot, Microservices, AWS
• Product/internal development, satisfying salary expectation","• Large banking corporate environment
• Detailed job description missing",Exact technology stack alignment matching candidate's AWS Practitioner certification and core skills. 100% remote product-side banking role within compensation goals.,N/A,1 week ago,2026-08-11T20:18:58.667Z
88,HIGHLY INTERESTED,Backend Software Engineer Specialist,StubHub International,Scaleup,Remote,"45,000€ - 55,000€",Estimated,70,Madrid (Remote),No,"• 100% Remote in Madrid/Spain
• E-commerce tickethub scaleup product
• Competitive salary >45k€ threshold","• High traffic event load demands strong architecture skills
• Detailed job description missing",High-interest remote opportunity with a well-known e-commerce scaleup. Fits salary goals and backend engineering domain cleanly.,N/A,2 weeks ago,2026-08-11T20:18:58.667Z
86,HIGHLY INTERESTED,Software Engineer II (Data Products),Akamai Technologies,Scaleup,Remote,"45,000€ - 58,000€",Estimated,70,Cracow (Remote),No,"• Software Engineer II level aligns perfectly with ~3.5 years experience
• 100% Remote in Poland/EU
• Global cloud infrastructure & data product leader","• Data product focus requires strong distributed systems background
• Detailed job description missing","Excellent match in title seniority, remote modality, and product company prestige. Akamai provides top tier engineering exposure.",N/A,1 day ago,2026-08-11T20:18:49.980Z
85,HIGHLY INTERESTED,Software Engineer,Twilio,Scaleup,Remote,"55,000€ - 75,000€",Estimated,80,Ireland (Remote),No,"• Tier-1 global tech product company
• 100% Remote EU policy
• High compensation and engineering excellence","• Challenging interview process (LeetCode/System Design)
• Detailed job description missing","Exceptional opportunity with a top-tier product company. Excellent salary and remote environment, though interview difficulty is high.",N/A,1 week ago,2026-08-11T20:18:44.291Z
83,HIGHLY INTERESTED,Software Engineer - Digital Trust,Feedzai,Scaleup,Remote,"45,000€ - 60,000€",Estimated,75,Portugal (Remote),No,"• Top AI/anti-fraud product company
• 100% Remote in Portugal/EU
• Modern Java, high scalability engineering","• Freshly posted, competitive candidate pool
• Detailed job description missing",Feedzai is a premier AI risk product scaleup offering full remote work and strong engineering practices. Fits salary and tech preferences.,N/A,4 days ago,2026-08-11T20:18:49.980Z
82,HIGHLY INTERESTED,Product Software Engineer,Brightflag,Scaleup,Remote,"45,000€ - 58,000€",Estimated,70,Ireland (Remote),No,"• Product company culture
• 100% Remote from Ireland/EU
• Competitive salary well within 40k-45k+ target","• Exact stack details unlisted in title
• Detailed job description missing",Strong product engineering role in an established Irish scaleup offering attractive remote salary and career growth for a semisenior profile.,N/A,6 days ago,2026-08-11T20:18:44.291Z
82,HIGHLY INTERESTED,Senior Backend Engineer Java / Spring Boot - remote,wealthAPI,Scaleup,Remote,"50,000€ - 65,000€",Estimated,75,Germany (Remote),No,"• Fintech API product company
• 100% Remote in Germany/EU
• Exact stack match: Java & Spring Boot","• Senior title requirement
• Detailed job description missing",Fintech product company with direct stack alignment and remote option. Senior title is worth pursuing given candidate's ~3.5 years experience.,N/A,1 month ago,2026-08-11T20:18:49.980Z
80,HIGHLY INTERESTED,Java Developer (f/m/x),Emporix,Scaleup,Remote,"42,000€ - 55,000€",Estimated,65,Poland (Remote),No,"• B2B commerce cloud product company
• 100% Remote in EU
• Excellent stack alignment with Java/Cloud","• Freshly posted listing
• Detailed job description missing",Modern cloud product scaleup offering 100% remote Java engineering at a competitive salary. Strong interest match.,N/A,1 day ago,2026-08-11T20:18:49.980Z
80,HIGHLY INTERESTED,Java Developer (Spring Boot) [gn],LUMASERV,SME,Remote,"45,000€ - 55,000€",Estimated,65,Germany (Remote),No,"• 100% Remote with German tech company
• Direct match with Java and Spring Boot
• Competitive German salary range","• Posted 2 months ago
• Detailed job description missing","Strong match on stack and remote preference with a German SME, offering compensation above candidate target. Needs confirmation if the posting remains open.",N/A,2 months ago,2026-08-11T20:18:44.291Z
80,HIGHLY INTERESTED,Middle Java Engineer (Payments),Patrianna,Scaleup,Remote,"40,000$ - 55,000$",Estimated,70,Ukraine (Remote),No,"• Mid-level targeting ~3-4 years experience perfectly
• 100% Remote work
• Fintech/Payments domain with strong salary potential","• High-throughput domain requires solid concurrency and testing knowledge
• Detailed job description missing",A strong mid-level Java role in a fintech setting with full remote modality. The level matches candidate's 3.5 years experience well and meets expected remuneration criteria.,N/A,1 week ago,2026-08-11T20:18:44.290Z
78,HIGHLY INTERESTED,Senior Backend Engineer (Java),Moniepoint Group,Scaleup,Remote,"45,000€ - 60,000€",Estimated,75,Poland (Remote),No,"• Fast-growing fintech unicorn/product scaleup
• 100% Remote flexibility
• High salary scale","• Senior role expectations
• High-throughput transactional systems intensity
• Detailed job description missing",Strong fintech product opportunity with full remote modality. Recommended to apply even with senior title.,N/A,1 week ago,2026-08-11T20:18:49.980Z
78,HIGHLY INTERESTED,Senior Backend Engineer,Harmonic Security,Startup,Remote,"55,000£ - 70,000£",Estimated,75,London (Remote),No,"• Innovative AI/Cybersecurity product startup
• 100% Remote flexibility
• High salary potential","• Startup stage higher workload/risk
• Senior requirements
• Detailed job description missing",Exciting cybersecurity product startup with strong compensation and remote working. Fits candidate's backend career goals.,N/A,3 weeks ago,2026-08-11T20:18:49.980Z
75,HIGHLY INTERESTED,Java Software Engineer (Remote),GeoSolutions,SME,Remote,"38,000€ - 48,000€",Estimated,65,Italy (Remote),No,"• 100% Remote work from Italy/EU
• International non-Spanish company
• Good alignment with Java engineering","• May involve specialized geospatial/GIS libraries requiring learning curve
• Detailed job description missing",This is a full remote Java position in an international SME that aligns nicely with the desired modality and stack. It avoids Spanish consultancy constraints and offers competitive European rates.,N/A,5 months ago,2026-08-11T20:18:44.290Z
75,HIGHLY INTERESTED,Mid/Senior Java Developer,Bonapolia,Scaleup,Remote,"40,000€ - 52,000€",Estimated,65,Tallinn (Remote),No,"• Mid/Senior range fits candidate experience level
• 100% Remote from Tallinn/EU
• Competitive salary in desired range","• Small agency/scaleup intermediary
• Detailed job description missing",Solid remote Java opportunity with flexible seniority guidelines. Offers good technical fit and meets baseline salary expectations.,N/A,2 weeks ago,2026-08-11T20:18:49.980Z
75,HIGHLY INTERESTED,Senior Backend Developer,Tempo Software,Scaleup,Remote,"50,000$ - 68,000$",Estimated,70,Canada (Remote),No,"• Established software product firm (Atlassian ecosystem)
• 100% Remote model","• Senior role level
• Potential Canadian time zone overlap requirements
• Detailed job description missing",Reputable product company in developer tools space. Great technical fit if European working hours are supported.,N/A,1 week ago,2026-08-11T20:18:49.980Z
75,HIGHLY INTERESTED,Java Services Engineer,RubyPlay,Scaleup,Remote,"38,000€ - 50,000€",Estimated,65,Warsaw (Remote),No,"• 100% Remote position
• Java microservices backend engineering focus
• International company","• iGaming domain context
• Detailed job description missing",Focused Java services engineering role in a remote environment. Matches technical background and remote modality preferences well.,N/A,2 weeks ago,2026-08-11T20:18:49.980Z
75,HIGHLY INTERESTED,Java Backend Developer,Renmoney,Scaleup,Remote,"40,000$ - 55,000$",Estimated,65,Serbia (Remote),No,"• Fintech product company
• 100% Remote work
• Good alignment with Java backend","• Posted 2 months ago
• Detailed job description missing",Fintech product role offering full remote work and matching Java tech stack. Well suited for candidate provided position is still open.,N/A,2 months ago,2026-08-11T20:18:44.291Z
72,MAYBE / REVIEW,Software Developer,GoDaddy,Scaleup,Remote,"35,000€ - 48,000€",Estimated,70,Romania (Remote),No,"• Reputable global tech company
• 100% Remote flexibility
• Strong engineering standards","• Listed under Romania location, may require local tax residency
• Tech stack not specified in title
• Detailed job description missing",GoDaddy is a solid product company with remote options. Candidate needs to check specific stack and local residency constraints for Romania.,N/A,2 weeks ago,2026-08-11T20:18:44.291Z
70,MAYBE / REVIEW,Java Developer – Step Into Low Latency,Orbis Group,Unknown,Remote,"50,000£ - 65,000£",Estimated,75,"England, United Kingdom (Remote)",No,"• Opportunity to work on high-performance low latency Java systems
• 100% Remote work option","• Demanding low-latency/concurrency technical requirements
• Recruitment agency listing
• Detailed job description missing",Interesting technical area for Java growth. High interview bar and potential location constraints require careful evaluation.,N/A,4 days ago,2026-08-11T20:18:49.980Z
70,MAYBE / REVIEW,Senior Java Engineer,Patrianna,Scaleup,Remote,"45,000$ - 65,000$",Estimated,75,Ukraine (Remote),No,"• 100% Remote fintech company
• High salary potential in USD","• Senior role might demand higher experience than 3.5 years
• Detailed job description missing","Solid fintech Java role, though 'Senior' title might create a higher interview bar compared to their Middle Java opening.",N/A,2 weeks ago,2026-08-11T20:18:44.291Z
70,MAYBE / REVIEW,Java Software Engineer,Better Placed,Unknown,Remote,"50,000£ - 65,000£",Estimated,70,"London Area, United Kingdom (Remote)",No,"• Attractive UK salary levels
• 100% Remote position
• Java stack","• Recruitment agency listing, final client unknown
• May require UK right to work or tax residence
• Detailed job description missing","High compensation potential and remote Java position, but published by a UK agency. Needs verification on whether remote hire from Spain/EU is permitted.",N/A,1 day ago,2026-08-11T20:18:44.291Z
70,MAYBE / REVIEW,Software Engineer (f/m/d),Awin Global,Scaleup,Remote,"38,000€ - 48,000€",Estimated,65,Romania (Remote),No,"• International affiliate marketing product company
• 100% Remote flexibility","• Listed in Romania, location restrictions must be verified
• Detailed job description missing",Good product software engineering role with remote options. Needs confirmation regarding cross-border EU hiring capabilities.,N/A,6 days ago,2026-08-11T20:18:49.980Z
70,MAYBE / REVIEW,Software Engineer II - Backend,New Relic,Scaleup,,"45,000€ - 60,000€",Estimated,75,Barcelona,No,"• Top dev tools / observability product company
• Software Engineer II level fits ~3.5 years experience
• Excellent pay scale","• Barcelona location with unconfirmed modality (null)
• Detailed job description missing",Great tech company and level fit. Needs verification whether New Relic permits 100% remote work from Madrid/Spain.,N/A,5 days ago,2026-08-11T20:18:58.667Z
68,MAYBE / REVIEW,"Software Development Engineer (Java&AWS), Ring",Ring,Scaleup,,"48,000€ - 62,000€",Estimated,75,Madrid,No,"• Amazon / Ring product brand
• Java & AWS stack aligns with candidate's AWS certification
• High compensation potential","• Amazon Madrid office usually mandates 3 days/week hybrid
• Modality unconfirmed in scraping data
• Detailed job description missing","High-quality tech product environment matching Java and AWS skills. However, Amazon's mandatory hybrid return-to-office policy is a concern.",N/A,6 hours ago,2026-08-11T20:18:58.667Z
68,MAYBE / REVIEW,Senior Backend Engineer (Java),Benifex,Scaleup,Remote,"55,000£ - 70,000£",Estimated,80,United Kingdom (Remote),No,"• High salary range for UK remote role
• Java backend focus","• Senior title may require more than 3.5 years of experience
• UK remote tax location constraints possible
• Detailed job description missing","High-paying product opportunity, but explicitly Senior title could increase interview difficulty and experience barrier.",N/A,1 month ago,2026-08-11T20:18:44.291Z
68,MAYBE / REVIEW,Java Developer (Remote),IT Search,Unknown,Remote,"45,000€ - 60,000€",Estimated,65,Ireland (Remote),No,"• Remote role in Irish market with good rates
• Matches Java development stack","• Recruitment firm post, end client unidentified
• May restrict location to Ireland residents
• Detailed job description missing",Promising remote Java opportunity with Irish recruitment firm. Worth reviewing provided EU remote tax setup is supported.,N/A,6 days ago,2026-08-11T20:18:44.291Z
65,MAYBE / REVIEW,Java Software Engineer,Langham Recruitment,Unknown,Remote,"45,000£ - 60,000£",Estimated,65,United Kingdom (Remote),No,"• 100% Remote position
• Good UK recruitment market pay","• Agency posting, end client unknown
• Potential UK-only remote restriction
• Detailed job description missing","UK remote Java role. Compensation is appealing, but candidate needs to verify EU remote contractor/employment terms.",N/A,3 weeks ago,2026-08-11T20:18:49.980Z
65,MAYBE / REVIEW,Java Software Engineer,Forte Group,Consulting,Remote,"35,000$ - 50,000$",Estimated,65,Ukraine (Remote),No,"• 100% Remote work
• International US/Ukrainian software consultancy
• Fits mid-level Java experience","• Consultancy environment
• Contractor/B2B relationship may be required
• Detailed job description missing","Offers remote Java engineering work with an international consultancy, bypassing the Spanish consultancy red flag. Needs review regarding employment contract type and exact project details.",N/A,1 week ago,2026-08-11T20:18:44.290Z
65,MAYBE / REVIEW,Software Engineer (Kotlin/Java),Vonage,Scaleup,,"42,000€ - 52,000€",Estimated,70,Greater Madrid Metropolitan Area,No,"• Telecom API product company (Ericsson subsidiary)
• Kotlin/Java cloud communications tech stack","• Modality null (unconfirmed if 100% remote)
• Detailed job description missing",Solid tech stack and product company context. Review required to check if position allows 100% remote work.,N/A,1 week ago,2026-08-11T20:18:58.667Z
65,MAYBE / REVIEW,Senior Java Engineer,B2Spin Limited,Startup,Remote,"40,000$ - 55,000$",Estimated,70,Ukraine (Remote),No,"• 100% Remote flexibility
• Java tech stack","• Senior title requirement
• Gaming/iGaming domain risk profile
• Detailed job description missing",Remote Java opening in iGaming sector. Deserves a review if candidate is comfortable with the domain and senior expectations.,N/A,1 week ago,2026-08-11T20:18:49.980Z
62,MAYBE / REVIEW,Back-End Java Developer,Proxima Group,Consulting,Remote,"32,000€ - 40,000€",Estimated,60,Milan (Remote),No,"• 100% Remote position
• Java backend development focus","• Italian consultancy firm
• Italian market salaries tend to be lower than target
• Detailed job description missing","Remote Java opportunity with an Italian consulting group. Suitable stack match, but compensation might not hit candidate expectations.",N/A,1 week ago,2026-08-11T20:18:44.291Z
60,MAYBE / REVIEW,Senior Backend Engineer (Java),Innovecs,Consulting,Remote,"40,000$ - 55,000$",Estimated,70,Ukraine (Remote),No,"• 100% Remote position
• Java backend development","• Outsourcing/consulting business model
• Senior role expectation
• Detailed job description missing",Outsourcing consultancy offering remote Java positions. Acceptable backup option but product companies are preferred.,N/A,1 week ago,2026-08-11T20:18:44.291Z
60,MAYBE / REVIEW,Java Software Engineer,Phi Partners,Consulting,Remote,"35,000€ - 45,000€",Estimated,65,Poland (Remote),No,"• 100% Remote work
• Capital markets fintech consulting","• Capital markets niche consulting
• May involve legacy financial platforms
• Detailed job description missing","Remote Java consulting position in capital markets. Decent match, but consulting model requires compensation review.",N/A,3 weeks ago,2026-08-11T20:18:49.980Z
60,MAYBE / REVIEW,Java Software Engineer,KWAN,Consulting,Remote,"30,000€ - 38,000€",Estimated,60,Portugal (Remote),No,"• 100% Remote work from Portugal
• Non-Spanish consultancy","• Portuguese consultancy rates tend to be below 40k€ target
• Detailed job description missing","Remote Java consulting position in Portugal. Modality fits well, but salary expectations may not be met.",N/A,1 month ago,2026-08-11T20:18:44.291Z
60,MAYBE / REVIEW,Backend Software Engineer (Digital Transformation),emagine,Consulting,Remote,"35,000€ - 45,000€",Estimated,65,Portugal (Remote),No,"• 100% Remote in Portugal/EU
• Backend development focus","• European IT consultancy firm
• Detailed job description missing",Remote backend opportunity with an international consultancy. Worth reviewing if rates match or exceed target thresholds.,N/A,1 week ago,2026-08-11T20:18:49.980Z
55,MAYBE / REVIEW,Software Engineer Java (100% teletrabajo),knowmad mood,Consulting,Remote,"35,000€ - 42,000€",Estimated,60,Madrid (Remote),No,"• 100% Remote
• Java software engineering role","• Spanish consultancy firm
• Salary likely below 45k€ target
• Detailed job description missing","Another remote Java listing from knowmad mood. Modality and tech match, but Spanish consultancy model is a drawback.",N/A,5 days ago,2026-08-11T20:18:49.980Z
55,MAYBE / REVIEW,"Java Backend Developer | Spring Boot, Microservicios | Remoto",knowmad mood,Consulting,Remote,"35,000€ - 42,000€",Estimated,60,Madrid (Remote),No,"• 100% Remote
• Exact stack match with Java, Spring Boot, Microservices","• Spanish consultancy company
• Salary usually below candidate's 45k€ consultancy threshold
• Detailed job description missing","Exact stack and remote work match, but being a Spanish consultancy makes it less attractive unless salary negotiations reach target.",N/A,3 weeks ago,2026-08-11T20:18:49.980Z
55,MAYBE / REVIEW,Java Developer (CI/CD),Coforge,Consulting,Remote,"35,000€ - 42,000€",Estimated,60,Spain (Remote),No,"• 100% Remote in Spain
• Emphasis on CI/CD DevOps practices alongside Java","• Global IT consultancy model
• Estimated pay under 45k€ threshold for consulting
• Detailed job description missing","Matches Java stack and candidate's remote requirement, but consultancy background and typical salary range lower interest.",N/A,1 week ago,2026-08-11T20:18:44.291Z
55,MAYBE / REVIEW,Backend Engineer (Java/Spring Boot),METRICA,Consulting,Remote,"35,000€ - 42,000€",Estimated,60,Madrid (Remote),No,"• 100% Remote flexibility
• Direct stack match with Java and Spring Boot","• Spanish consultancy firm (a stated red flag unless paying well above market)
• Estimated salary may be under the 40k-45k target
• Detailed job description missing","The core stack and remote modality match the candidate's technical profile well. However, because METRICA is a Spanish consultancy and salary may fall below target, it requires review.",N/A,1 month ago,2026-08-11T20:18:44.290Z
55,MAYBE / REVIEW,Java/Spring Boot Backend Developer – Cassandra | 100% remoto,Qaracter - Beyond your Challenge,Consulting,Remote,"36,000€ - 42,000€",Estimated,60,Spain (Remote),No,"• 100% Remote in Spain
• Java, Spring Boot, and NoSQL (Cassandra) exposure","• Spanish IT consultancy firm
• Salary might fall slightly short of 45k€ consultancy threshold
• Detailed job description missing","The technical stack matches candidate skills and it is fully remote. However, being a Spanish consultancy means it must be evaluated cautiously against salary expectations.",N/A,1 day ago,2026-08-11T20:18:44.290Z
55,MAYBE / REVIEW,Backend Java Microservices Developer | Sector Bancario,Vermont Solutions,Consulting,Remote,"36,000€ - 42,000€",Estimated,60,Madrid (Remote),No,"• 100% Remote
• Banking sector experience with Java Microservices","• Spanish consultancy firm
• Pay likely under 45k€ threshold
• Detailed job description missing","Strong technology and domain relevance, but operating through a Spanish IT consultancy lowers its alignment score.",N/A,3 weeks ago,2026-08-11T20:18:49.980Z
50,MAYBE / REVIEW,Back-End Software Engineer,Santander,Scaleup,,"38,000€ - 45,000€",Estimated,60,Boadilla del Monte,No,"• Established enterprise backend environment
• Java microservices stack","• Location in Boadilla del Monte typically mandates hybrid presence
• Modality unconfirmed
• Detailed job description missing","Enterprise backend role in banking. Worth checking remote policy, though Santander corporate hub usually mandates hybrid presence.",N/A,3 weeks ago,2026-08-11T20:18:58.667Z
50,MAYBE / REVIEW,Back-End Software Engineer,Santander Consumer Finance Global Services,Scaleup,,"38,000€ - 45,000€",Estimated,60,Boadilla del Monte,No,"• Enterprise banking product experience
• Fits backend Java background","• Location in Boadilla del Monte usually implies hybrid/onsite
• Modality unconfirmed (null)
• Detailed job description missing",Backend engineering role in Santander's global services hub. Needs confirmation whether 100% remote work is permitted before proceeding.,N/A,2 days ago,2026-08-11T20:18:58.667Z
50,MAYBE / REVIEW,Software Backend Engineer,ING España&Portugal,Scaleup,Hybrid,"40,000€ - 48,000€",Estimated,65,Greater Madrid Metropolitan Area (Hybrid),No,"• Great tech culture for a bank
• Modern Java, Spring Boot, cloud architecture","• Hybrid attendance in Greater Madrid Area required
• Not 100% remote
• Detailed job description missing","ING offers an excellent tech ecosystem and competitive pay, but requires hybrid office presence in Madrid. Review only if candidate considers hybrid.",N/A,1 month ago,2026-08-11T20:18:58.667Z
50,MAYBE / REVIEW,Java Backend Engineer,METRICA,Consulting,Remote,"34,000€ - 40,000€",Estimated,60,Madrid (Remote),No,"• 100% Remote work
• Backend Java stack","• Spanish consultancy
• Posted 2 months ago (potentially stale posting)
• Detailed job description missing","Fully remote Java position, but posted months ago by a Spanish consulting firm with estimated salary under desired target. Lower priority for review.",N/A,2 months ago,2026-08-11T20:18:44.291Z
50,MAYBE / REVIEW,Programador/a Backend JAVA / Microservicios,METRICA,Consulting,Remote,"33,000€ - 38,000€",Estimated,55,Madrid (Remote),No,"• 100% Remote
• Java microservices focus","• Spanish consultancy firm
• Posted 3 months ago (likely closed/stale)
• Detailed job description missing","Old listing from a Spanish consultancy. Stack matches, but age of posting and business model reduce recommendation rank.",N/A,3 months ago,2026-08-11T20:18:49.980Z
45,MAYBE / REVIEW,Mid Level Backend Engineer (Java/Kotlin),Parser,Consulting,Hybrid,"38,000€ - 45,000€",Estimated,60,Madrid (Hybrid),No,"• Mid-level title matches ~3.5 years experience
• Java/Kotlin stack","• Hybrid modality in Madrid
• IT consultancy business model
• Detailed job description missing","Mid-level stack fit, but hybrid modality and consultancy business model reduce its overall alignment score.",N/A,1 month ago,2026-08-11T20:18:58.667Z
